Time,$/MWh
2019-06-19 00:00:00,17.92
2019-06-19 00:05:00,18.7
2019-06-19 00:10:00,18.7
2019-06-19 00:15:00,18.7
2019-06-19 00:20:00,20.13
2019-06-19 00:25:00,20.13
2019-06-19 00:30:00,20.13
2019-06-19 00:35:00,20.13
2019-06-19 00:40:00,17.22
2019-06-19 00:45:00,17.22
2019-06-19 00:50:00,16.99
2019-06-19 00:55:00,16.99
2019-06-19 01:00:00,16.99
2019-06-19 01:05:00,17.12
2019-06-19 01:10:00,17.12
2019-06-19 01:15:00,17.12
2019-06-19 01:20:00,17.04
2019-06-19 01:25:00,17.04
2019-06-19 01:30:00,17.04
2019-06-19 01:35:00,17.55
2019-06-19 01:40:00,17.55
2019-06-19 01:45:00,17.55
2019-06-19 01:50:00,17.14
2019-06-19 01:55:00,17.14
2019-06-19 02:00:00,17.14
2019-06-19 02:05:00,17.26
2019-06-19 02:10:00,17.26
2019-06-19 02:15:00,17.13
2019-06-19 02:20:00,17.13
2019-06-19 02:25:00,17.13
2019-06-19 02:30:00,16.34
2019-06-19 02:35:00,16.34
2019-06-19 02:40:00,16.34
2019-06-19 02:45:00,16.31
2019-06-19 02:50:00,16.31
2019-06-19 02:55:00,16.31
2019-06-19 03:00:00,16.27
2019-06-19 03:05:00,16.27
2019-06-19 03:10:00,16.27
2019-06-19 03:15:00,16.27
2019-06-19 03:20:00,16.27
2019-06-19 03:25:00,16.27
2019-06-19 03:30:00,16.27
2019-06-19 03:35:00,16.26
2019-06-19 03:40:00,16.26
2019-06-19 03:45:00,16.29
2019-06-19 03:50:00,16.29
2019-06-19 03:55:00,16.29
2019-06-19 04:00:00,16.31
2019-06-19 04:05:00,16.31
2019-06-19 04:10:00,16.31
2019-06-19 04:15:00,16.31
2019-06-19 04:20:00,16.38
2019-06-19 04:25:00,16.46
2019-06-19 04:30:00,16.45
2019-06-19 04:35:00,16.45
2019-06-19 04:40:00,16.45
2019-06-19 04:45:00,16.45
2019-06-19 04:50:00,17.16
2019-06-19 04:55:00,17.16
2019-06-19 05:00:00,16.48
2019-06-19 05:05:00,16.48
2019-06-19 05:10:00,16.48
2019-06-19 05:15:00,16.48
2019-06-19 05:20:00,17.27
2019-06-19 05:25:00,17.27
2019-06-19 05:30:00,17.27
2019-06-19 05:35:00,17.35
2019-06-19 05:40:00,17.35
2019-06-19 05:45:00,16.55
2019-06-19 05:50:00,16.55
2019-06-19 05:55:00,17.4
2019-06-19 06:00:00,17.4
2019-06-19 06:05:00,16.44
2019-06-19 06:10:00,16.44
2019-06-19 06:15:00,16.44
2019-06-19 06:20:00,17.71
2019-06-19 06:25:00,17.31
2019-06-19 06:30:00,17.31
2019-06-19 06:35:00,17.31
2019-06-19 06:40:00,17.31
2019-06-19 06:45:00,17.31
2019-06-19 06:50:00,20.31
2019-06-19 06:55:00,20.31
2019-06-19 07:00:00,20.31
2019-06-19 07:05:00,18.85
2019-06-19 07:10:00,18.85
2019-06-19 07:15:00,18.85
2019-06-19 07:20:00,18.85
2019-06-19 07:25:00,18.92
2019-06-19 07:30:00,18.92
2019-06-19 07:35:00,20.47
2019-06-19 07:40:00,20.47
2019-06-19 07:45:00,20.47
2019-06-19 07:50:00,18.91
2019-06-19 07:55:00,18.91
2019-06-19 08:00:00,18.91
2019-06-19 08:05:00,19.05
2019-06-19 08:10:00,19.05
2019-06-19 08:15:00,20.48
2019-06-19 08:20:00,20.48
2019-06-19 08:25:00,20.48
2019-06-19 08:30:00,21.04
2019-06-19 08:35:00,21.04
2019-06-19 08:40:00,21.04
2019-06-19 08:45:00,21.04
2019-06-19 08:50:00,22.83
2019-06-19 08:55:00,22.83
2019-06-19 09:00:00,22.83
2019-06-19 09:05:00,22.83
2019-06-19 09:10:00,32.3
2019-06-19 09:15:00,28.26
2019-06-19 09:20:00,28.26
2019-06-19 09:25:00,28.31
2019-06-19 09:30:00,28.31
2019-06-19 09:35:00,29.5
2019-06-19 09:40:00,29.5
2019-06-19 09:45:00,29.5
2019-06-19 09:50:00,28.37
2019-06-19 09:55:00,28.37
2019-06-19 10:00:00,28.37
2019-06-19 10:05:00,29.55
2019-06-19 10:10:00,29.55
2019-06-19 10:15:00,29.55
2019-06-19 10:20:00,28.32
2019-06-19 10:25:00,28.32
2019-06-19 10:30:00,28.32
2019-06-19 10:35:00,52.16
2019-06-19 10:40:00,52.16
2019-06-19 10:45:00,52.16
2019-06-19 10:50:00,52.16
2019-06-19 10:55:00,52.16
2019-06-19 11:00:00,52.16
2019-06-19 11:05:00,52.16
2019-06-19 11:10:00,30.31
2019-06-19 11:15:00,30.31
2019-06-19 11:20:00,30.75
2019-06-19 11:25:00,32.48
2019-06-19 11:30:00,30.74
2019-06-19 11:35:00,30.74
2019-06-19 11:40:00,30.74
2019-06-19 11:45:00,30.78
2019-06-19 11:50:00,29.33
2019-06-19 11:55:00,29.33
2019-06-19 12:00:00,29.33
2019-06-19 12:05:00,22.14
2019-06-19 12:10:00,26.95
2019-06-19 12:15:00,26.95
2019-06-19 12:20:00,27.03
2019-06-19 12:25:00,27.03
2019-06-19 12:30:00,27.03
2019-06-19 12:35:00,26.94
2019-06-19 12:40:00,26.94
2019-06-19 12:45:00,26.94
2019-06-19 12:50:00,26.96
2019-06-19 12:55:00,26.96
2019-06-19 13:00:00,26.96
2019-06-19 13:05:00,26.9
2019-06-19 13:10:00,26.9
2019-06-19 13:15:00,26.9
2019-06-19 13:20:00,27.01
2019-06-19 13:25:00,27.01
2019-06-19 13:30:00,27.01
2019-06-19 13:35:00,31.44
2019-06-19 13:40:00,31.44
2019-06-19 13:45:00,34.29
2019-06-19 13:50:00,34.29
2019-06-19 13:55:00,34.29
2019-06-19 14:00:00,34.29
2019-06-19 14:05:00,43.02
2019-06-19 14:10:00,43.02
2019-06-19 14:15:00,43.02
2019-06-19 14:20:00,43.11
2019-06-19 14:25:00,43.11
2019-06-19 14:30:00,43.11
2019-06-19 14:35:00,43.11
2019-06-19 14:40:00,37.82
2019-06-19 14:45:00,37.82
2019-06-19 14:50:00,47.37
2019-06-19 14:55:00,47.37
2019-06-19 15:00:00,47.37
2019-06-19 15:05:00,34.21
2019-06-19 15:10:00,34.21
2019-06-19 15:15:00,34.21
2019-06-19 15:20:00,34.21
2019-06-19 15:25:00,52.5
2019-06-19 15:30:00,52.5
2019-06-19 15:35:00,75.12
2019-06-19 15:40:00,52.15
2019-06-19 15:45:00,52.83
2019-06-19 15:50:00,74.88
2019-06-19 15:55:00,74.88
2019-06-19 16:00:00,67.92
2019-06-19 16:05:00,57.59
2019-06-19 16:10:00,57.59
2019-06-19 16:15:00,68.09
2019-06-19 16:20:00,68.09
2019-06-19 16:25:00,68.09
2019-06-19 16:30:00,68.09
2019-06-19 16:35:00,68.07
2019-06-19 16:40:00,68.06
2019-06-19 16:45:00,68.06
2019-06-19 16:50:00,57.48
2019-06-19 16:55:00,57.48
2019-06-19 17:00:00,57.48
2019-06-19 17:05:00,47.36
2019-06-19 17:10:00,47.36
2019-06-19 17:15:00,47.36
2019-06-19 17:20:00,46.65
2019-06-19 17:25:00,46.65
2019-06-19 17:30:00,46.65
2019-06-19 17:35:00,46.48
2019-06-19 17:40:00,46.48
2019-06-19 17:45:00,46.48
2019-06-19 17:50:00,46.45
2019-06-19 17:55:00,46.45
2019-06-19 18:00:00,46.45
2019-06-19 18:05:00,34.14
2019-06-19 18:10:00,34.14
2019-06-19 18:15:00,34.14
2019-06-19 18:20:00,33.97
2019-06-19 18:25:00,33.97
2019-06-19 18:30:00,33.97
2019-06-19 18:35:00,45.4
2019-06-19 18:40:00,45.4
2019-06-19 18:45:00,45.4
2019-06-19 18:50:00,56.91
2019-06-19 18:55:00,56.91
2019-06-19 19:00:00,56.91
2019-06-19 19:05:00,46.14
2019-06-19 19:10:00,46.14
2019-06-19 19:15:00,46.14
2019-06-19 19:20:00,45.25
2019-06-19 19:25:00,45.25
2019-06-19 19:30:00,45.25
2019-06-19 19:35:00,45.25
2019-06-19 19:40:00,45.14
2019-06-19 19:45:00,45.14
2019-06-19 19:50:00,46.15
2019-06-19 19:55:00,46.15
2019-06-19 20:00:00,46.15
2019-06-19 20:05:00,53.12
2019-06-19 20:10:00,53.12
2019-06-19 20:15:00,53.12
2019-06-19 20:20:00,53.12
2019-06-19 20:25:00,46.1
2019-06-19 20:30:00,46.1
2019-06-19 20:35:00,46.1
2019-06-19 20:40:00,46.04
2019-06-19 20:45:00,46.04
2019-06-19 20:50:00,46.03
2019-06-19 20:55:00,46.03
2019-06-19 21:00:00,46.03
2019-06-19 21:05:00,44.98
2019-06-19 21:10:00,44.98
2019-06-19 21:15:00,44.98
2019-06-19 21:20:00,44.98
2019-06-19 21:25:00,44.98
2019-06-19 21:30:00,33.96
2019-06-19 21:35:00,33.96
2019-06-19 21:40:00,19.57
2019-06-19 21:45:00,19.57
2019-06-19 21:50:00,19.57
2019-06-19 21:55:00,19.05
2019-06-19 22:00:00,19.05
2019-06-19 22:05:00,19.05
2019-06-19 22:10:00,18.57
2019-06-19 22:15:00,18.57
2019-06-19 22:20:00,19.87
2019-06-19 22:25:00,19.87
2019-06-19 22:30:00,19.87
2019-06-19 22:35:00,20.2
2019-06-19 22:40:00,20.2
2019-06-19 22:45:00,20.2
2019-06-19 22:50:00,17.22
2019-06-19 22:55:00,17.22
2019-06-19 23:00:00,17.22
2019-06-19 23:05:00,20.26
2019-06-19 23:10:00,22.61
2019-06-19 23:15:00,22.58
2019-06-19 23:20:00,25.63
2019-06-19 23:25:00,51.12
2019-06-19 23:30:00,51.12
2019-06-19 23:35:00,20.21
2019-06-19 23:40:00,31.0
2019-06-19 23:45:00,31.0
2019-06-19 23:50:00,17.07
2019-06-19 23:55:00,17.07
2019-06-20 00:00:00,17.07
2019-06-20 00:05:00,25.21
2019-06-20 00:10:00,25.21
2019-06-20 00:15:00,25.21
2019-06-20 00:20:00,19.78
2019-06-20 00:25:00,19.78
2019-06-20 00:30:00,19.78
2019-06-20 00:35:00,18.71
2019-06-20 00:40:00,18.71
2019-06-20 00:45:00,18.71
2019-06-20 00:50:00,18.46
2019-06-20 00:55:00,18.45
2019-06-20 01:00:00,18.45
2019-06-20 01:05:00,18.57
2019-06-20 01:10:00,18.57
2019-06-20 01:15:00,18.52
2019-06-20 01:20:00,18.52
2019-06-20 01:25:00,18.52
2019-06-20 01:30:00,18.52
2019-06-20 01:35:00,18.95
2019-06-20 01:40:00,18.95
2019-06-20 01:45:00,18.49
2019-06-20 01:50:00,18.49
2019-06-20 01:55:00,18.49
2019-06-20 02:00:00,18.49
2019-06-20 02:05:00,19.36
2019-06-20 02:10:00,19.36
2019-06-20 02:15:00,19.36
2019-06-20 02:20:00,18.72
2019-06-20 02:25:00,18.72
2019-06-20 02:30:00,18.52
2019-06-20 02:35:00,18.52
2019-06-20 02:40:00,18.52
2019-06-20 02:45:00,18.52
2019-06-20 02:50:00,18.46
2019-06-20 02:55:00,18.46
2019-06-20 03:00:00,19.2
2019-06-20 03:05:00,19.19
2019-06-20 03:10:00,19.19
2019-06-20 03:15:00,19.19
2019-06-20 03:20:00,19.19
2019-06-20 03:25:00,19.19
2019-06-20 03:30:00,19.17
2019-06-20 03:35:00,19.17
2019-06-20 03:40:00,19.17
2019-06-20 03:45:00,19.17
2019-06-20 03:50:00,19.17
2019-06-20 03:55:00,19.17
2019-06-20 04:00:00,19.17
2019-06-20 04:05:00,19.17
2019-06-20 04:10:00,19.17
2019-06-20 04:15:00,18.15
2019-06-20 04:20:00,18.15
2019-06-20 04:25:00,18.15
2019-06-20 04:30:00,18.22
2019-06-20 04:35:00,18.22
2019-06-20 04:40:00,18.22
2019-06-20 04:45:00,18.22
2019-06-20 04:50:00,18.77
2019-06-20 04:55:00,18.77
2019-06-20 05:00:00,18.26
2019-06-20 05:05:00,18.26
2019-06-20 05:10:00,18.26
2019-06-20 05:15:00,18.26
2019-06-20 05:20:00,20.07
2019-06-20 05:25:00,19.2
2019-06-20 05:30:00,19.2
2019-06-20 05:35:00,19.27
2019-06-20 05:40:00,19.27
2019-06-20 05:45:00,20.18
2019-06-20 05:50:00,20.18
2019-06-20 05:55:00,20.53
2019-06-20 06:00:00,20.53
2019-06-20 06:05:00,17.93
2019-06-20 06:10:00,17.97
2019-06-20 06:15:00,17.97
2019-06-20 06:20:00,20.62
2019-06-20 06:25:00,20.67
2019-06-20 06:30:00,20.67
2019-06-20 06:35:00,24.13
2019-06-20 06:40:00,24.13
2019-06-20 06:45:00,24.13
2019-06-20 06:50:00,22.27
2019-06-20 06:55:00,22.27
2019-06-20 07:00:00,29.54
2019-06-20 07:05:00,29.54
2019-06-20 07:10:00,30.8
2019-06-20 07:15:00,26.17
2019-06-20 07:20:00,26.17
2019-06-20 07:25:00,26.13
2019-06-20 07:30:00,26.13
2019-06-20 07:35:00,32.72
2019-06-20 07:40:00,32.72
2019-06-20 07:45:00,32.72
2019-06-20 07:50:00,76.45
2019-06-20 07:55:00,76.45
2019-06-20 08:00:00,82.06
2019-06-20 08:05:00,76.92
2019-06-20 08:10:00,76.96
2019-06-20 08:15:00,34.17
2019-06-20 08:20:00,34.17
2019-06-20 08:25:00,26.14
2019-06-20 08:30:00,26.14
2019-06-20 08:35:00,26.14
2019-06-20 08:40:00,26.14
2019-06-20 08:45:00,25.26
2019-06-20 08:50:00,27.13
2019-06-20 08:55:00,27.13
2019-06-20 09:00:00,27.13
2019-06-20 09:05:00,22.89
2019-06-20 09:10:00,22.89
2019-06-20 09:15:00,22.89
2019-06-20 09:20:00,47.17
2019-06-20 09:25:00,47.17
2019-06-20 09:30:00,47.17
2019-06-20 09:35:00,38.13
2019-06-20 09:40:00,38.13
2019-06-20 09:45:00,38.13
2019-06-20 09:50:00,47.17
2019-06-20 09:55:00,47.17
2019-06-20 10:00:00,47.17
2019-06-20 10:05:00,32.07
2019-06-20 10:10:00,32.07
2019-06-20 10:15:00,32.07
2019-06-20 10:20:00,25.99
2019-06-20 10:25:00,25.99
2019-06-20 10:30:00,25.95
2019-06-20 10:35:00,25.95
2019-06-20 10:40:00,25.95
2019-06-20 10:45:00,25.95
2019-06-20 10:50:00,31.37
2019-06-20 10:55:00,31.37
2019-06-20 11:00:00,33.89
2019-06-20 11:05:00,33.9
2019-06-20 11:10:00,33.9
2019-06-20 11:15:00,33.39
2019-06-20 11:20:00,33.39
2019-06-20 11:25:00,33.39
2019-06-20 11:30:00,41.52
2019-06-20 11:35:00,41.52
2019-06-20 11:40:00,41.52
2019-06-20 11:45:00,41.52
2019-06-20 11:50:00,31.5
2019-06-20 11:55:00,31.5
2019-06-20 12:00:00,31.5
2019-06-20 12:05:00,41.63
2019-06-20 12:10:00,41.63
2019-06-20 12:15:00,41.63
2019-06-20 12:20:00,41.63
2019-06-20 12:25:00,41.63
2019-06-20 12:30:00,41.63
2019-06-20 12:35:00,33.8
2019-06-20 12:40:00,33.8
2019-06-20 12:45:00,33.8
2019-06-20 12:50:00,34.21
2019-06-20 12:55:00,34.21
2019-06-20 13:00:00,34.21
2019-06-20 13:05:00,26.06
2019-06-20 13:10:00,26.06
2019-06-20 13:15:00,26.06
2019-06-20 13:20:00,31.41
2019-06-20 13:25:00,31.41
2019-06-20 13:30:00,31.41
2019-06-20 13:35:00,25.1
2019-06-20 13:40:00,25.1
2019-06-20 13:45:00,25.1
2019-06-20 13:50:00,25.04
2019-06-20 13:55:00,25.04
2019-06-20 14:00:00,25.04
2019-06-20 14:05:00,24.95
2019-06-20 14:10:00,24.95
2019-06-20 14:15:00,24.95
2019-06-20 14:20:00,24.89
2019-06-20 14:25:00,24.89
2019-06-20 14:30:00,24.89
2019-06-20 14:35:00,24.89
2019-06-20 14:40:00,24.89
2019-06-20 14:45:00,24.89
