Time,$/MWh
2019-07-01 00:00:00,13.19
2019-07-01 00:05:00,13.19
2019-07-01 00:10:00,13.19
2019-07-01 00:15:00,17.89
2019-07-01 00:20:00,17.89
2019-07-01 00:25:00,18.28
2019-07-01 00:30:00,22.24
2019-07-01 00:35:00,18.16
2019-07-01 00:40:00,18.16
2019-07-01 00:45:00,18.16
2019-07-01 00:50:00,20.39
2019-07-01 00:55:00,20.39
2019-07-01 01:00:00,19.87
2019-07-01 01:05:00,20.39
2019-07-01 01:10:00,20.39
2019-07-01 01:15:00,20.39
2019-07-01 01:20:00,24.41
2019-07-01 01:25:00,24.41
2019-07-01 01:30:00,20.38
2019-07-01 01:35:00,20.38
2019-07-01 01:40:00,20.38
2019-07-01 01:45:00,20.38
2019-07-01 01:50:00,20.35
2019-07-01 01:55:00,20.35
2019-07-01 02:00:00,20.35
2019-07-01 02:05:00,17.97
2019-07-01 02:10:00,17.97
2019-07-01 02:15:00,17.93
2019-07-01 02:20:00,17.93
2019-07-01 02:25:00,17.93
2019-07-01 02:30:00,17.85
2019-07-01 02:35:00,17.85
2019-07-01 02:40:00,17.85
2019-07-01 02:45:00,17.85
2019-07-01 02:50:00,17.84
2019-07-01 02:55:00,17.84
2019-07-01 03:00:00,17.84
2019-07-01 03:05:00,17.84
2019-07-01 03:10:00,17.28
2019-07-01 03:15:00,17.28
2019-07-01 03:20:00,17.28
2019-07-01 03:25:00,17.24
2019-07-01 03:30:00,17.19
2019-07-01 03:35:00,17.19
2019-07-01 03:40:00,17.19
2019-07-01 03:45:00,17.19
2019-07-01 03:50:00,17.15
2019-07-01 03:55:00,17.15
2019-07-01 04:00:00,17.33
2019-07-01 04:05:00,17.33
2019-07-01 04:10:00,17.33
2019-07-01 04:15:00,17.4
2019-07-01 04:20:00,17.4
2019-07-01 04:25:00,17.4
2019-07-01 04:30:00,17.4
2019-07-01 04:35:00,18.17
2019-07-01 04:40:00,18.17
2019-07-01 04:45:00,18.17
2019-07-01 04:50:00,18.39
2019-07-01 04:55:00,18.39
2019-07-01 05:00:00,18.39
2019-07-01 05:05:00,16.34
2019-07-01 05:10:00,16.34
2019-07-01 05:15:00,17.52
